item_id,item_name,display_name,slope_normalized_quantity_per_meal_swipe,normalized_quantity_per_1000_meal_swipes,intercept,r,r_squared,p_value,std_err,residual_sigma,category
222-33756,Mix Original,Mix Original,6.27792819132677e-07,0.000627792819132677,0.38130983091705933,0.3265939893970661,0.1066636339102909,0.30015009667185266,5.745339050894145e-07,0.2554586570543175,Poor
2716959,Sauce Alfredo BIB FZN GF,Alfredo Sauce,1.514297933940791e-06,0.0015142979339407912,0.241408652100903,0.7458523451024626,0.5562957206948429,0.005349279561904975,4.276665457700119e-07,0.1901560908445662,Moderate
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,1.777218372820852e-06,0.001777218372820852,0.2542718731075642,0.7502284825103341,0.5628427759697587,0.004943992591532173,4.952974315723041e-07,0.22022724088358556,Moderate
9008475,Sauce Spaghetti Tomato CND SS,Sauce Spaghetti Tomato CND SS,1.4670329677859595e-06,0.0014670329677859595,0.2337128991279787,0.7551509578086893,0.570252969079381,0.004516303346694659,4.0272866128700644e-07,0.1790678009745143,Moderate
9332313,Veg Bean Black Fcy CND,Black Beans,1.7604040154075863e-06,0.0017604040154075864,0.21968233934096576,0.7948904646084952,0.6318508507255094,0.002002830160389426,4.2492957979537017e-07,0.1889391362904628,Moderate
7335839,Spread Mayonnaise Chipotle SS,Chipotle Mayo,1.8798569356612904e-06,0.0018798569356612905,0.17757548809968088,0.7965494544047647,0.6344910333125282,0.0019289015331777372,4.511916692961128e-07,0.20061621584289746,Moderate
2554244,Spread Hummus Plain REF,Hummus,1.75059214012041e-06,0.00175059214012041,0.2029248058215692,0.80163690051976,0.6426217202749276,0.001715157857589638,4.128300964353058e-07,0.18355926620301855,Moderate
6367866,Fruit Peach 90-195 Ct Slcd CND,Canned Peaches,1.621552955292151e-06,0.001621552955292151,0.13764663223041523,0.8058133164966702,0.6493351010433628,0.0015536790008084786,3.768277211024613e-07,0.1675513015349236,Moderate
9422965,Cereal Granola Oat & Honey,Granola Cereal,1.8258671154708669e-06,0.001825867115470867,0.1474382119894314,0.8152573456375788,0.6646445396160306,0.0012315769070960904,4.101352878133127e-07,0.1823610563402157,Moderate
0052332,Rice Sushi,Rice Sushi,2.0106013500118177e-06,0.0020106013500118176,0.1416153257270008,0.822778882189904,0.6769650889776679,0.0010140190082691808,4.392052911078934e-07,0.19528663642594185,Good
8018475,Potato HashBrown Patty Tri 2oz PRFRD FZN,Hash Browns,1.9566701551956516e-06,0.0019566701551956517,0.13636799916985864,0.8424155138913562,0.7096638980448376,0.0005837249389687626,3.957690108633545e-07,0.17597328743050164,Good
4198719,Spread Ketchup Tomato Dispenser Fcy SS,Ketchup,1.9266693898087406e-06,0.0019266693898087406,0.15517164881159462,0.8719066223748239,0.7602211581410737,0.00021819223447463372,3.421705677241567e-07,0.15214147144322623,Good
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,1.7782020248622886e-06,0.0017782020248622887,0.15677430844433726,0.8749759460810292,0.7655829062203922,0.00019431537839036307,3.11157035478366e-07,0.1383517277434399,Good
7832888,Chip Potato Kettle 16 oz SS,Kettle Chips,2.1420298125245227e-06,0.0021420298125245226,0.05994783820058369,0.8943261039523561,0.7998191802106005,8.67009121633343e-05,3.3887601815270986e-07,0.1506765949552327,Good
2170200,Sauce Cheese White Pouch SS,Cheese Sauce,1.9990200361023954e-06,0.001999020036102395,0.03929106873052146,0.9065224982177947,0.8217830397750316,4.796172478906826e-05,2.943832367107517e-07,0.13089348712627863,Good
