item_id,item_name,display_name,slope_quantity_per_meal_swipe,quantity_per_1000_meal_swipes,meal_swipes_per_1_quantity,intercept_quantity,r,r_squared,p_value,std_err,std_error_per_1000_swipes,uncertainty_pct,residual_sigma_quantity,item_peak_quantity,cost_per_case,largest_spending_month,largest_spending,largest_spending_quantity,lowest_spending_month,lowest_spending,lowest_spending_quantity
222-33756,Mix Original,Mix Original,1.0672477925255507e-05,0.010672477925255507,93698.95229612848,6.482267125590009,0.3265939893970661,0.1066636339102909,0.30015009667185266,9.767076386520044e-06,0.009767076386520045,91.51648244131846,4.342797169923398,17.0,90.78325123152709,Aug,1571.5,17.0,Jun,91.0,1.0
2716959,Sauce Alfredo BIB FZN GF,Alfredo Sauce,0.00016505847479954624,0.16505847479954625,6058.4589868193125,26.313543078998414,0.7458523451024626,0.5562957206948429,0.005349279561904975,4.66156534889313e-05,0.046615653488931305,28.24190248064709,20.727013902057713,109.0,48.176468864468866,Sep,5665.31,109.0,Dec,1099.14,21.0
6362412,Oil Canola Olive Virgin 75/25 Blend,Oil Canola Olive Virgin 75/25 Blend,3.909880420205875e-05,0.03909880420205875,25576.229769895235,5.5939812083664116,0.7502284825103342,0.562842775969759,0.004943992591532173,1.0896543494590689e-05,0.01089654349459069,27.869250011530866,4.844999299438883,22.0,142.51464285714286,Feb,3222.365,21.5,Dec,604.04,4.0
9008475,Sauce Spaghetti Tomato CND SS,Sauce Spaghetti Tomato CND SS,6.675000003426115e-05,0.06675000003426115,14981.273400550177,10.633936910323028,0.7551509578086895,0.5702529690793811,0.004516303346694649,1.8324154088558793e-05,0.018324154088558794,27.451916223450862,8.1475849443404,45.5,55.52682002734413,Sep,2496.87,45.5,Dec,500.58,9.0
9332313,Veg Bean Black Fcy CND,Black Beans,6.32278148799889e-05,0.0632278148799889,15815.824125791387,7.890253693290697,0.7948904646084953,0.6318508507255096,0.0020028301603894198,1.526204699215738e-05,0.015262046992157378,24.138185102752455,6.786060829446851,35.916650000000004,38.97072565348871,Oct,1397.8200000000002,35.916650000000004,Jun,246.26,6.5
7335839,Spread Mayonnaise Chipotle SS,Chipotle Mayo,9.775256065438709e-05,0.09775256065438709,10229.911045865994,9.233925381183404,0.7965494544047647,0.6344910333125282,0.0019289015331777372,2.3461966803397862e-05,0.023461966803397863,24.001383335982105,10.432043223830666,52.0,41.86777439024391,Feb,2252.96,52.0,Jul,241.8,6.0
2554244,Spread Hummus Plain REF,Hummus,6.73977973946358e-05,0.0673977973946358,14837.28012867658,7.812605024130411,0.80163690051976,0.6426217202749276,0.001715157857589638,1.5893958712759274e-05,0.015893958712759275,23.582311777482918,7.067031748816215,38.5,31.271540041067762,Feb,1224.7350000000001,38.5,Jul,155.625,5.0
6367866,Fruit Peach 90-195 Ct Slcd CND,Canned Peaches,2.9187953195258723e-05,0.029187953195258725,34260.71000286651,2.4776393801474725,0.8058133164966703,0.649335101043363,0.0015536790008084742,6.782898979844302e-06,0.006782898979844302,23.238693492718472,3.015923427628624,18.0,83.00304699554101,Sep,1481.26,18.0,Dec,243.21,3.0
9422965,Cereal Granola Oat & Honey,Granola Cereal,8.398988731165988e-05,0.08398988731165988,11906.195281454737,6.782157751513841,0.8152573456375788,0.6646445396160306,0.0012315769070960904,1.8866223239412384e-05,0.018866223239412384,22.462493811196342,8.388608591649923,46.0,51.07152985074627,Oct,2350.6000000000004,46.0,Jul,255.43,5.0
0052332,Rice Sushi,Rice Sushi,7.841345265046089e-05,0.07841345265046089,12752.91376924368,5.522997703353031,0.8227788821899038,0.6769650889776676,0.0010140190082691862,1.7129006353207858e-05,0.017129006353207857,21.844474097528696,7.616178820611731,39.0,40.714116424116426,Oct,1522.255,39.0,Jul,142.235,3.5
8018475,Potato HashBrown Patty Tri 2oz PRFRD FZN,Hash Browns,0.00012131354962213041,0.12131354962213041,8243.102300730774,8.454815948531238,0.8424155138913562,0.7096638980448376,0.0005837249389687626,2.4537678673527976e-05,0.024537678673527977,20.226659552835088,10.910343820691104,62.0,38.2521293800539,Sep,2398.7799999999997,62.0,Jan,270.83,7.0
4198719,Spread Ketchup Tomato Dispenser Fcy SS,Ketchup,0.00014161020015094245,0.14161020015094244,7061.63820779929,11.405116187652201,0.871906622374824,0.7602211581410739,0.00021819223447463274,2.5149536727725503e-05,0.0251495367277255,17.759692946495793,11.182398151077129,73.5,33.16770764119601,Oct,2482.83,73.5,Jun,392.53499999999997,12.0
2167948,Fruit Mango In-Juice Import Slcd Pld REF,Mango Fruit,0.0001324760508522405,0.13247605085224048,7548.5341959307625,11.67968597910313,0.8749759460810292,0.7655829062203922,0.00019431537839036307,2.3181199143138266e-05,0.023181199143138265,17.49840744346601,10.307203716886274,74.5,42.25002301495972,Oct,3174.2650000000003,74.5,Jul,554.99,13.0
7832888,Chip Potato Kettle 16 oz SS,Kettle Chips,0.00022598414522133714,0.22598414522133714,4425.08919827346,6.32449693016158,0.8943261039523561,0.7998191802106005,8.67009121633343e-05,3.575141991511089e-05,0.03575141991511089,15.820322208929587,15.896380767777044,105.5,34.92582179930796,Oct,3693.5550000000003,105.5,Jun,278.6,8.0
2170200,Sauce Cheese White Pouch SS,Cheese Sauce,4.597746083035509e-05,0.04597746083035509,21749.787438017527,0.9036945808019929,0.9065224982177946,0.8217830397750314,4.796172478906855e-05,6.770814444347294e-06,0.006770814444347293,14.72637749468124,3.010550203904408,23.0,89.08650442477875,Oct,2060.11,23.0,Jun,126.69,1.5
